Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,Gross Total cases,Gross Total deaths
USA,188592,4055,7251,62,2,177286,4576,570,188654,4057
Italy,105792,12428,15729,0,0,77635,4023,1750,105792,12428
Spain,95923,8464,19259,0,0,68200,5607,2052,95923,8464
China,81554,3312,76238,36,7,2004,466,57,81590,3319
Germany,71808,775,16100,0,0,54933,2675,857,71808,775
France,52128,3523,9444,0,0,39161,5565,799,52128,3523
Iran,44605,2898,14656,0,0,27051,3703,531,44605,2898
UK,25150,1789,135,0,0,23226,163,370,25150,1789
Switzerland,16605,433,1823,0,0,14349,301,1919,16605,433
Turkey,13531,214,243,0,0,13074,847,160,13531,214
Belgium,12775,705,1696,0,0,10374,1021,1102,12775,705
Netherlands,12595,1039,250,0,0,11306,1053,735,12595,1039
Austria,10298,128,1095,118,0,9075,198,1143,10416,128
S. Korea,9887,165,5567,101,3,4155,55,193,9988,168
Canada,8612,101,1242,0,0,7269,120,228,8612,101
Portugal,7443,160,43,0,0,7240,188,730,7443,160
Brazil,5812,202,127,95,1,5483,296,27,5907,203
Israel,5591,21,226,233,1,5344,97,646,5824,22
Australia,4862,21,345,99,1,4496,28,191,4961,22
Norway,4643,39,13,2,0,4591,97,856,4645,39
Sweden,4435,180,16,0,0,4239,358,439,4435,180
Czechia,3330,32,45,22,1,3253,70,311,3352,33
Ireland,3235,71,5,0,0,3159,103,655,3235,71
Denmark,2860,90,1,0,0,2769,145,494,2860,90
Malaysia,2766,43,537,0,0,2186,94,85,2766,43
Chile,2738,12,156,0,0,2570,14,143,2738,12
Poland,2347,35,7,36,2,2305,50,62,2383,37
Russia,2337,17,121,0,0,2199,8,16,2337,17
Ecuador,2302,79,58,0,0,2165,100,130,2302,79
Romania,2245,82,220,0,0,1943,62,117,2245,82
Japan,2178,57,424,0,0,1697,69,17,2178,57
Luxembourg,2178,23,80,0,0,2075,31,3479,2178,23
Philippines,2084,88,49,0,0,1947,1,19,2084,88
Pakistan,2042,26,82,104,0,1934,12,9,2146,26
Thailand,1771,12,416,120,2,1343,23,25,1891,14
India,1618,52,148,193,10,1397,0,1,1811,62
Saudi Arabia,1563,10,165,0,0,1388,31,45,1563,10
Indonesia,1528,136,81,0,0,1311,0,6,1528,136
Finland,1418,17,10,0,0,1391,56,256,1418,17
South Africa,1353,5,31,0,0,1317,7,23,1353,5
Greece,1314,49,52,0,0,1213,72,126,1314,49
Mexico,1215,29,35,121,1,1151,1,9,1336,30
Panama,1181,30,9,0,0,1142,50,274,1181,30
Iceland,1135,2,198,0,0,935,11,3326,1135,2
Dominican Republic,1109,51,5,0,0,1053,0,102,1109,51
Peru,1065,30,394,0,0,641,49,32,1065,30
Argentina,1054,27,240,0,0,787,0,23,1054,27
Singapore,926,3,240,0,0,683,22,158,926,3
Colombia,906,16,31,0,0,859,35,18,906,16
Serbia,900,23,42,0,0,835,62,103,900,23
Croatia,867,6,67,0,0,794,32,211,867,6
Slovenia,802,15,10,0,0,777,24,386,802,15
Qatar,781,2,62,0,0,717,6,271,781,2
Estonia,745,4,26,0,0,715,13,562,745,4
Algeria,716,44,46,0,0,626,0,16,716,44
Hong Kong,715,4,128,0,0,583,5,95,715,4
Egypt,710,46,157,0,0,507,0,7,710,46
New Zealand,708,1,83,61,0,624,2,147,769,1
Iraq,694,50,170,0,0,474,0,17,694,50
Ukraine,669,17,10,24,0,642,0,15,693,17
UAE,664,6,61,0,0,597,2,67,664,6
Morocco,638,36,24,21,0,578,1,17,659,36
Lithuania,581,8,7,44,0,566,27,213,625,8
Armenia,571,3,31,39,0,537,30,193,610,3
Bahrain,567,4,316,0,0,247,2,333,567,4
Hungary,525,20,40,33,4,465,6,54,558,24
Lebanon,463,12,37,0,0,414,7,68,463,12
Latvia,446,0,1,48,0,445,3,236,494,0
Bosnia and Herzegovina,424,13,17,4,0,394,1,129,428,13
Bulgaria,412,8,20,13,0,384,14,59,425,8
Tunisia,394,10,3,0,0,381,10,33,394,10
Andorra,376,12,10,0,0,354,12,4866,376,12
Kazakhstan,369,3,24,26,1,342,6,20,395,4
Slovakia,363,0,3,0,0,360,1,66,363,0
Moldova,353,4,18,0,0,331,44,88,353,4
Costa Rica,347,2,4,0,0,341,8,68,347,2
Uruguay,338,1,41,0,0,296,12,97,338,1
Taiwan,329,5,45,7,0,279,0,14,336,5
North Macedonia,329,9,12,0,0,308,4,158,329,9
Azerbaijan,298,5,26,0,0,267,11,29,298,5
Kuwait,289,0,73,0,0,216,13,68,289,0
Jordan,274,5,30,0,0,239,5,27,274,5
Cyprus,262,8,23,0,0,231,3,217,262,8
Burkina Faso,261,14,32,0,0,215,0,12,261,14
Réunion,247,0,1,0,0,246,4,276,247,0
Albania,243,15,52,0,0,176,8,84,243,15
San Marino,236,26,13,0,0,197,16,6955,236,26
Cameroon,223,6,5,30,0,212,0,8,253,6
Vietnam,212,0,58,0,0,154,3,2,212,0
Oman,210,1,34,18,0,175,3,41,228,1
Afghanistan,196,4,5,22,0,187,0,5,218,4
Cuba,186,6,8,0,0,172,3,16,186,6
Ivory Coast,179,1,7,0,0,171,0,7,179,1
Senegal,175,0,40,0,0,135,0,10,175,0
Faeroe Islands,173,0,75,4,0,98,1,3541,177,0
Uzbekistan,173,2,8,1,0,163,8,5,174,2
Honduras,172,10,3,31,3,159,4,17,203,13
Malta,169,0,2,0,0,167,2,383,169,0
Belarus,163,1,53,11,0,109,2,17,174,1
Ghana,161,5,31,0,0,125,1,5,161,5
Channel Islands,159,3,0,18,0,156,0,915,177,3
Venezuela,143,3,41,8,0,99,6,5,151,3
Sri Lanka,143,2,17,0,0,124,5,7,143,2
Mauritius,143,5,0,0,0,138,1,112,143,5
United Arab Emirates,140,2,31,0,0,0,0,0,140,2
Nigeria,139,2,9,4,0,128,0,1,143,2
Brunei,129,1,45,0,0,83,3,295,129,1
Martinique,128,3,27,0,0,98,15,341,128,3
Montenegro,120,2,0,11,0,118,4,191,131,2
Palestine,119,1,18,0,0,100,0,23,119,1
Georgia,115,0,22,5,0,93,6,29,120,0
Bolivia,115,7,1,8,1,107,3,10,123,8
Guadeloupe,114,4,22,0,0,88,14,285,114,4
Kyrgyzstan,111,0,3,4,0,108,3,17,115,0
Cambodia,109,0,25,0,0,84,1,7,109,0
DRC,98,8,2,0,0,88,0,1,98,8
Mayotte,94,1,10,0,0,83,3,345,94,1
Trinidad and Tobago,89,4,1,2,1,84,0,64,91,5
Rwanda,75,0,0,0,0,75,0,6,75,0
Gibraltar,69,0,34,0,0,35,0,2048,69,0
Liechtenstein,68,0,0,0,0,68,0,1783,68,0
Paraguay,65,3,1,0,0,61,3,9,65,3
Isle of Man,60,0,0,0,0,60,0,706,60,0
Kenya,59,1,1,0,0,57,2,1,59,1
Madagascar,57,0,0,0,0,57,6,2,57,0
Aruba,55,0,1,0,0,54,0,515,55,0
Bangladesh,54,6,25,3,1,23,1,0,57,7
Monaco,52,1,2,0,0,49,0,1325,52,1
French Guiana,51,0,15,0,0,36,0,171,51,0
Uganda,44,0,0,0,0,44,0,1,44,0
Macao,41,0,10,0,0,31,0,63,41,0
Puerto Rico,39,2,1,8,0,36,0,14,47,2
Guatemala,38,1,12,0,0,25,1,2,38,1
Jamaica,38,2,2,0,0,34,0,13,38,2
French Polynesia,37,0,0,0,0,37,1,132,37,0
Zambia,36,0,0,0,0,36,0,2,36,0
Togo,34,1,10,0,0,23,0,4,34,1
Barbados,34,0,0,0,0,34,0,118,34,0
Niger,34,3,0,0,0,31,0,1,34,3
Bermuda,32,0,10,0,0,22,0,514,32,0
El Salvador,32,1,0,0,0,31,1,5,32,1
Guam,32,1,0,3,0,31,0,190,35,1
Djibouti,30,0,0,0,0,30,0,30,30,0
Mali,28,2,0,0,0,26,0,1,28,2
Ethiopia,26,0,2,0,0,24,2,0,26,0
Guinea,22,0,0,0,0,22,0,2,22,0
Tanzania,19,1,1,0,0,17,0,0,19,1
Maldives,18,0,13,0,0,5,0,33,18,0
Gabon,18,1,0,2,0,17,0,8,20,1
U.S. Virgin Islands,17,0,0,0,0,17,0,163,17,0
Haiti,16,0,1,1,0,15,0,1,17,0
New Caledonia,16,0,0,0,0,16,0,56,16,0
