Country,Total cases,New cases,Total deaths,New deaths,Total recovered,Active cases,Critical cases,Cases per 1M pop.,Deaths per 1M pop.,Total tests done,Tests per 1M pop.,Gross Total cases,Gross Total deaths
USA,277522,361,7403,11,12283,257836,5787,838,22,1356085,4097,277883,7414
Italy,119827,0,14681,0,19758,85388,4068,1982,243,619849,10252,119827,14681
Spain,119199,0,11198,0,30513,77488,6416,2549,240,355000,7593,119199,11198
Germany,91159,0,1275,0,24575,65309,3936,1088,15,918460,10962,91159,1275
France,82165,0,6507,0,14008,61650,6662,1259,100,224254,3436,82165,6507
Iran,53183,0,3294,0,17935,31954,4035,633,39,80000,952,53183,3294
UK,38168,0,3605,0,135,34428,163,562,53,173784,2560,38168,3605
Turkey,20921,0,425,0,484,20012,1251,248,5,141716,1680,20921,425
Switzerland,19702,96,604,13,4846,14252,348,2276,70,145780,16844,19798,617
Belgium,16770,0,1143,0,2872,12755,1205,1447,99,62867,5424,16770,1143
Netherlands,15723,0,1487,0,250,13986,1324,918,87,75415,4401,15723,1487
Canada,12549,174,208,0,2322,10019,120,332,6,302745,8021,12723,208
Austria,11589,65,168,0,2022,9399,245,1287,19,98343,10919,11654,168
S. Korea,10156,94,177,3,6325,3654,55,198,3,455032,8875,10250,180
Portugal,9886,0,246,0,68,9572,245,970,24,52086,5108,9886,246
Brazil,9216,22,365,2,127,8724,296,43,2,54824,258,9238,367
Israel,7589,161,42,2,427,7120,115,877,5,90394,10443,7750,44
Sweden,6131,0,358,0,205,5568,469,607,35,36900,3654,6131,358
Australia,5550,96,30,2,585,4935,85,218,1,285675,11203,5646,32
Norway,5370,0,59,0,32,5279,96,991,11,101986,18812,5370,59
Russia,4731,582,43,9,333,4355,8,32,0,639000,4379,5313,52
Ireland,4273,0,120,0,25,4128,148,865,24,30213,6119,4273,120
Czechia,4194,4,56,3,74,4064,87,392,5,74170,6926,4198,59
Denmark,3757,0,139,0,1193,2425,153,649,24,40863,7055,3757,139
Chile,3737,0,22,0,427,3288,31,195,1,35142,1838,3737,22
Poland,3503,120,73,2,116,3314,50,93,2,66938,1769,3623,75
Ecuador,3368,0,145,0,65,3158,100,191,8,10317,585,3368,145
Malaysia,3333,0,53,0,827,2453,108,103,2,47723,1474,3333,53
Romania,3183,0,133,0,283,2767,83,165,7,31657,1646,3183,133
Philippines,3094,76,144,8,57,2893,1,28,1,5265,48,3170,152
India,3082,23,86,0,229,2767,0,2,0,116608,84,3105,86
Japan,2935,0,69,0,514,2352,60,23,0,39446,312,2935,69
Pakistan,2708,22,40,0,130,2538,13,12,0,30308,137,2730,40
Luxembourg,2612,0,31,0,500,2081,33,4173,50,21463,34287,2612,31
Thailand,2067,89,20,1,612,1435,23,30,0,23669,339,2156,21
Saudi Arabia,2039,0,25,0,351,1663,41,59,0,0,0,2039,25
Indonesia,1986,0,181,0,134,1671,0,7,0,7193,26,1986,181
Finland,1882,267,20,0,300,1562,72,340,4,26500,4783,2149,20
Mexico,1688,178,60,10,633,995,1,13,0,15668,122,1866,70
Panama,1673,0,41,0,10,1622,50,388,10,7333,1700,1673,41
Greece,1613,0,63,0,78,1472,92,155,6,22437,2153,1613,63
Peru,1595,0,61,0,537,997,51,48,2,16518,501,1595,61
South Africa,1505,0,9,0,95,1401,7,25,0,50361,849,1505,9
Dominican Republic,1488,0,68,0,16,1404,147,137,6,4200,387,1488,68
Serbia,1476,0,39,0,54,1383,81,169,4,5756,659,1476,39
Iceland,1364,0,4,0,336,1024,12,3997,12,22195,65042,1364,4
Argentina,1353,0,42,0,266,1045,0,30,0,7385,163,1353,42
Colombia,1267,0,25,0,55,1187,50,25,0,21202,417,1267,25
UAE,1264,0,9,0,108,1147,2,128,0,220000,22244,1264,9
Algeria,1171,0,105,0,62,1004,0,27,2,3359,77,1171,105
Singapore,1114,0,6,1,282,826,24,190,1,39000,6666,1114,7
Ukraine,1096,24,28,1,23,1045,16,25,0,5040,115,1120,29
Croatia,1079,0,8,0,92,979,39,263,2,8352,2034,1079,8
Qatar,1075,0,3,0,93,979,37,373,1,28413,9862,1075,3
