Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,Gross Total cases,Gross Total deaths
USA,164266,3170,5507,422,14,155589,3512,496,164688,3184
Italy,101739,11591,14620,0,0,75528,3981,1683,101739,11591
Spain,87956,7716,16780,0,0,63460,5231,1881,87956,7716
China,81518,3305,76052,79,5,2161,528,57,81597,3310
Germany,66885,645,13500,0,0,52740,1979,798,66885,645
France,44550,3024,7927,0,0,33599,5056,683,44550,3024
Iran,41495,2757,13911,0,0,24827,3511,494,41495,2757
UK,22141,1408,135,0,0,20598,163,326,22141,1408
Switzerland,15922,359,1823,0,0,13740,301,1840,15922,359
Belgium,11899,513,1527,0,0,9859,927,1027,11899,513
Netherlands,11750,864,250,0,0,10636,1053,686,11750,864
Turkey,10827,168,162,0,0,10497,568,128,10827,168
S. Korea,9786,162,5408,125,4,4216,55,191,9911,166
Austria,9618,108,636,0,0,8874,193,1068,9618,108
Canada,7474,92,1114,26,3,6268,120,198,7500,95
Portugal,6408,140,43,0,0,6225,164,628,6408,140
Israel,4831,18,161,136,2,4652,83,558,4967,20
Brazil,4661,165,127,31,2,4369,296,22,4692,167
Australia,4557,19,244,97,0,4294,28,179,4654,19
Norway,4462,32,12,17,0,4418,97,823,4479,32
Sweden,4028,146,16,0,0,3866,306,399,4028,146
Czechia,3001,23,25,0,0,2953,52,280,3001,23
Ireland,2910,54,5,0,0,2851,84,589,2910,54
Malaysia,2626,37,479,0,0,2110,94,81,2626,37
Denmark,2577,77,1,0,0,2499,137,445,2577,77
Chile,2449,8,156,0,0,2285,14,128,2449,8
Romania,2109,65,209,0,0,1835,33,110,2109,65
Poland,2055,31,7,0,0,2017,3,54,2055,31
Luxembourg,1988,22,40,0,0,1926,25,3176,1988,22
Ecuador,1966,62,54,0,0,1850,58,111,1966,62
Japan,1953,56,424,0,0,1473,56,15,1953,56
Pakistan,1865,25,76,148,4,1764,12,8,2013,29
Russia,1836,9,66,0,0,1761,8,13,1836,9
Philippines,1546,78,42,0,0,1426,1,14,1546,78
Thailand,1524,9,229,0,0,1286,11,22,1524,9
Saudi Arabia,1453,8,115,0,0,1330,12,42,1453,8
Indonesia,1414,122,75,0,0,1217,0,5,1414,122
Finland,1355,13,10,3,0,1332,49,245,1358,13
South Africa,1326,3,31,0,0,1292,7,22,1326,3
India,1251,32,102,0,0,1117,0,1,1251,32
Greece,1212,46,52,0,0,1114,72,116,1212,46
Mexico,1094,28,35,101,8,1031,1,8,1195,36
Iceland,1086,2,157,0,0,927,25,3182,1086,2
Panama,1075,27,9,0,0,1039,43,249,1075,27
Argentina,966,24,228,146,1,714,0,21,1112,25
Peru,950,24,53,0,0,873,49,29,950,24
Dominican Republic,901,42,4,0,0,855,0,83,901,42
Singapore,879,3,228,0,0,648,19,150,879,3
Colombia,798,14,15,0,0,769,29,16,798,14
Croatia,790,6,67,0,0,717,27,192,790,6
Serbia,785,16,42,0,0,727,62,90,785,16
Slovenia,756,11,10,0,0,735,28,364,756,11
Estonia,715,3,20,0,0,692,10,539,715,3
Qatar,693,1,51,0,0,641,6,241,693,1
Hong Kong,683,4,118,0,0,561,5,91,683,4
Egypt,656,41,150,0,0,465,0,6,656,41
New Zealand,647,1,74,58,0,572,2,134,705,1
Iraq,630,46,152,0,0,432,0,16,630,46
UAE,611,5,61,0,0,545,2,62,611,5
Algeria,584,35,37,0,0,512,0,13,584,35
Morocco,556,33,15,0,0,508,1,15,556,33
Ukraine,548,13,8,0,0,527,0,13,548,13
Lithuania,533,7,7,42,0,519,5,196,575,7
Bahrain,515,4,295,0,0,216,2,303,515,4
Armenia,482,3,30,0,0,449,15,163,482,3
Hungary,447,15,34,0,0,398,6,46,447,15
Lebanon,446,11,35,0,0,400,3,65,446,11
Bulgaria,379,8,17,20,0,354,13,55,399,8
Latvia,376,0,1,0,0,375,3,199,376,0
Bosnia and Herzegovina,371,10,17,3,0,344,1,113,374,10
Andorra,370,8,10,0,0,352,10,4789,370,8
Tunisia,362,9,3,0,0,350,10,31,362,9
Slovakia,336,0,7,0,0,329,1,62,336,0
Costa Rica,330,2,4,0,0,324,7,65,330,2
Kazakhstan,325,2,22,23,1,301,0,17,348,3
Uruguay,320,1,25,0,0,294,9,92,320,1
Taiwan,306,5,39,0,0,262,0,13,306,5
Moldova,298,2,15,0,0,281,44,74,298,2
North Macedonia,285,7,12,0,0,266,1,137,285,7
Azerbaijan,273,4,26,0,0,243,23,27,273,4
Jordan,268,5,26,0,0,237,3,26,268,5
Kuwait,266,0,72,0,0,194,13,62,266,0
Burkina Faso,246,12,31,0,0,203,0,12,246,12
Cyprus,230,7,22,0,0,201,3,190,230,7
San Marino,230,25,13,0,0,192,16,6778,230,25
Réunion,224,0,1,0,0,223,0,250,224,0
Albania,223,11,44,0,0,168,7,77,223,11
Vietnam,204,0,55,0,0,149,3,2,204,0
Oman,179,0,29,0,0,150,3,35,179,0
Cuba,170,4,4,0,0,162,2,15,170,4
Afghanistan,170,4,2,0,0,164,0,4,170,4
Faeroe Islands,168,0,70,0,0,98,1,3438,168,0
Ivory Coast,168,1,6,0,0,161,0,6,168,1
Senegal,162,0,27,0,0,135,0,10,162,0
Malta,156,0,2,0,0,154,4,353,156,0
Belarus,152,0,32,0,0,120,2,16,152,0
Ghana,152,5,2,0,0,145,1,5,152,5
Uzbekistan,150,2,7,1,0,141,8,4,151,2
Honduras,141,7,3,2,0,131,4,14,143,7
Channel Islands,141,2,0,0,0,139,0,811,141,2
United Arab Emirates,140,2,31,0,0,0,0,0,140,2
Cameroon,139,6,5,0,0,128,0,5,139,6
Venezuela,135,3,39,0,0,93,6,5,135,3
Nigeria,131,2,8,0,0,121,0,1,131,2
Mauritius,128,3,0,0,0,125,1,101,128,3
Brunei,127,1,38,0,0,88,3,290,127,1
Sri Lanka,122,2,15,0,0,105,5,6,122,2
Palestine,117,1,18,0,0,98,0,23,117,1
Cambodia,107,0,21,0,0,86,1,6,107,0
Kyrgyzstan,107,0,3,13,0,104,0,16,120,0
Bolivia,107,6,0,10,2,101,3,9,117,8
Guadeloupe,106,4,17,0,0,85,10,265,106,4
Montenegro,105,1,0,14,0,104,1,167,119,1
Georgia,103,0,20,0,0,83,6,26,103,0
Martinique,93,1,0,0,0,92,12,248,93,1
Trinidad and Tobago,85,3,1,2,0,81,0,61,87,3
Mayotte,82,0,10,0,0,72,3,301,82,0
DRC,81,8,2,0,0,71,0,1,81,8
Rwanda,70,0,0,0,0,70,0,5,70,0
Gibraltar,69,0,34,0,0,35,0,2048,69,0
Paraguay,65,3,1,1,0,61,3,9,66,3
Liechtenstein,64,0,0,2,0,64,0,1679,66,0
Aruba,50,0,1,0,0,49,0,468,50,0
Kenya,50,1,1,0,0,48,2,1,50,1
Bangladesh,49,5,19,0,0,25,1,0,49,5
Monaco,49,1,1,0,0,47,0,1249,49,1
Isle of Man,49,0,0,0,0,49,0,576,49,0
French Guiana,43,0,6,0,0,37,0,144,43,0
Madagascar,43,0,0,0,0,43,0,2,43,0
Puerto Rico,39,2,1,8,0,36,0,14,47,2
Macao,38,0,10,0,0,28,0,59,38,0
Guatemala,36,1,10,0,0,25,1,2,36,1
Jamaica,36,1,2,0,0,33,0,12,36,1
French Polynesia,36,0,0,0,0,36,2,128,36,0
Zambia,35,0,0,0,0,35,0,2,35,0
Barbados,34,0,0,1,0,34,0,118,35,0
Uganda,33,0,0,0,0,33,0,1,33,0
El Salvador,32,0,0,2,0,32,5,5,34,0
Guam,32,1,0,3,0,31,0,190,35,1
Togo,30,1,1,0,0,28,0,4,30,1
Bermuda,27,0,2,0,0,25,0,434,27,0
Niger,27,3,0,0,0,24,0,1,27,3
Mali,25,2,0,0,0,23,0,1,25,2
Ethiopia,23,0,4,0,0,19,1,0,23,0
Guinea,22,0,0,0,0,22,0,2,22,0
Tanzania,19,0,1,0,0,18,0,0,19,0
Maldives,18,0,13,1,0,5,0,33,19,0
Djibouti,18,0,0,0,0,18,0,18,18,0
U.S. Virgin Islands,17,0,0,0,0,17,0,163,17,0
Gabon,16,1,0,9,0,15,0,7,25,1
Saint Martin,15,1,2,0,0,12,0,388,15,1
Haiti,15,0,1,0,0,14,0,1,15,0
Eritrea,15,0,0,0,0,15,0,4,15,0
New Caledonia,15,0,0,0,0,15,0,53,15,0
Bahamas,14,0,1,0,0,13,0,36,14,0
Myanmar,14,1,0,0,1,13,0,0,14,2
Mongolia,12,0,2,0,0,10,0,4,12,0
Dominica,12,0,0,0,0,12,0,167,12,0
Equatorial Guinea,12,0,0,0,0,12,0,9,12,0
Cayman Islands,12,1,0,0,0,11,0,183,12,1
Namibia,11,0,2,0,0,9,0,4,11,0
Curaçao,11,1,2,0,0,8,0,67,11,1
Greenland,10,0,2,0,0,8,0,176,10,0
Syria,10,2,0,0,0,8,0,1,10,2
Seychelles,10,0,0,2,0,10,0,102,12,0
Saint Lucia,9,0,1,0,0,8,0,49,9,0
Côte d'Ivoire,9,0,1,0,0,0,0,0,9,0
Grenada,9,0,0,0,0,9,0,80,9,0
Laos,9,0,0,1,0,9,0,1,10,0
Eswatini,9,0,0,0,0,9,0,8,9,0
Suriname,8,0,0,0,0,8,0,14,8,0
Libya,8,0,0,0,0,8,0,1,8,0
Mozambique,8,0,0,0,0,8,0,0,8,0
Guinea-Bissau,8,0,0,0,0,8,0,4,8,0
Guyana,8,1,0,0,0,7,0,10,8,1
Angola,7,2,1,0,0,4,0,0,7,2
Antigua and Barbuda,7,0,0,0,0,7,0,71,7,0
Zimbabwe,7,1,0,0,0,6,0,0,7,1
Saint Kitts and Nevis,7,0,0,0,0,7,0,132,7,0
Mauritania,6,1,2,0,0,3,0,1,6,1
St. Barth,6,0,1,0,0,5,0,607,6,0
Sudan,6,2,0,0,0,4,0,0,6,2
Vatican City,6,0,0,0,0,6,0,7491,6,0
Benin,6,0,0,0,0,6,0,0,6,0
Cabo Verde,6,1,0,0,0,5,0,11,6,1
Nepal,5,0,1,0,0,4,0,0,5,0
Chad,5,0,0,0,0,5,0,0,5,0
Fiji,5,0,0,0,0,5,0,6,5,0
Montserrat,5,0,0,0,0,5,0,1002,5,0
Turks and Caicos,5,0,0,0,0,5,0,129,5,0
Nicaragua,4,1,0,0,0,3,0,1,4,1
Bhutan,4,0,0,0,0,4,0,5,4,0
Gambia,4,1,0,0,0,3,0,2,4,1
Somalia,3,0,1,0,0,2,0,0,3,0
Central African Republic,3,0,0,0,0,0,0,0,3,0
Botswana,3,0,0,0,0,3,0,1,3,0
British Virgin Islands,3,0,0,1,0,3,0,99,4,0
CAR,3,0,0,0,0,3,0,1,3,0
