Country,Total cases,New cases,Total deaths,New deaths,Total recovered,Active cases,Critical cases,Total cases per 1M pop.,Total deaths per 1M pop.
USA ,104205,79,1701,5,2525,99979,2494,315,5
Italy ,86498,,9134,,10950,66414,3732,1431,151
China ,81394,54,3295,3,74971,3128,886,57,2
Spain ,65719,,5138,,9357,51224,4165,1406,110
Germany ,50871,,351,,6658,43862,1581,607,4
France ,32964,,1995,,5700,25269,3787,505,31
Iran ,32332,,2378,,11133,18821,2893,385,28
UK ,14543,,759,,135,13649,163,214,11
Switzerland ,12928,,231,,1530,11167,203,1494,27
S. Korea ,9478,146,144,5,4811,4523,59,185,3
Netherlands ,8603,,546,,3,8054,761,502,32
Austria ,7697,,58,,225,7414,128,855,6
Belgium ,7284,,289,,858,6137,690,628,25
Turkey ,5698,,92,,42,5564,241,68,1
Canada ,4757,,55,,354,4348,120,126,1
Portugal ,4268,,76,,43,4149,71,419,7
Norway ,3771,,19,,7,3745,70,696,4
Australia ,3573,195,14,1,170,3389,23,140,0.5
Brazil ,3477,60,93,1,6,3378,296,16,0.4
Sweden ,3069,,105,,16,2948,214,304,10
Israel ,3035,,12,,79,2944,49,351,1
Czechia ,2279,,9,,11,2259,34,213,0.8
Malaysia ,2161,,26,,259,1876,54,67,0.8
Ireland ,2121,,22,,5,2094,59,430,4
Denmark ,2046,,52,,1,1993,109,353,9
Ecuador ,1627,,41,,3,1583,58,92,2
Chile ,1610,,5,,43,1562,7,84,0.3
Luxembourg ,1605,,15,,40,1550,25,2564,24
Japan ,1499,,49,,372,1078,56,12,0.4
Poland ,1389,,16,,7,1366,3,37,0.4
Pakistan ,1373,,11,,23,1339,7,6,0.05
Romania ,1292,,26,,115,1151,32,67,1
South Africa ,1170,,1,,31,1138,7,20,0.02
Thailand ,1136,,5,,97,1034,11,16,0.07
Saudi Arabia ,1104,,3,,35,1066,6,32,0.09
Indonesia ,1046,,87,,46,913,,4,0.3
Finland ,1041,,7,,10,1024,32,188,1
Russia ,1036,,4,,45,987,8,7,0.03
Greece ,966,,28,,52,886,66,93,3
Iceland ,890,,2,,97,791,18,2608,6
India ,887,,20,,73,794,,0.6,0.01
Philippines ,803,,54,,31,718,1,7,0.5
Panama ,786,,14,,2,770,20,182,3
Singapore ,732,,2,,183,547,17,125,0.3
Mexico ,717,132,12,4,4,701,1,6,0.09
Diamond Princess ,712,,10,,597,105,15,,
Argentina ,690,101,17,4,72,601,,15,0.4
Peru ,635,,11,,16,608,21,19,0.3
Slovenia ,632,,9,,10,613,14,304,4
Croatia ,586,,3,,37,546,14,143,0.7
Dominican Republic ,581,,20,,3,558,,54,2
Estonia ,575,,1,,11,563,7,433,0.8
Qatar ,562,,,,43,519,6,195,
Colombia ,539,,6,,10,523,,11,0.1
Egypt ,536,,30,,116,390,,5,0.3
Serbia ,528,,8,,42,478,25,60,0.9
Hong Kong ,519,,4,,111,404,5,69,0.5
Bahrain ,466,,4,,227,235,1,274,2
Iraq ,458,,40,,122,296,,11,1
New Zealand ,451,83,,,50,401,2,94,
Algeria ,409,,26,,29,354,,9,0.6
UAE ,405,,2,,52,351,2,41,0.2
Lebanon ,391,,8,,27,356,3,57,1
Lithuania ,358,,5,,1,352,2,132,2
Morocco ,345,,23,,11,311,1,9,0.6
Armenia ,329,,1,,28,300,6,111,0.3
Ukraine ,310,,5,,5,300,,7,0.1
Hungary ,300,,10,,34,256,6,31,1
Bulgaria ,293,,3,,9,281,8,42,0.4
Latvia ,280,,,,1,279,,148,
Uruguay ,274,36,,,,274,8,79,
Slovakia ,269,,,,2,267,1,49,
Andorra ,267,,3,,1,263,11,3456,39
Taiwan ,267,,2,,30,235,,11,0.08
Costa Rica ,263,,2,,3,258,5,52,0.4
Bosnia and Herzegovina ,237,,4,,5,228,1,72,1
Jordan ,235,,1,,18,216,,23,0.1
Tunisia ,227,,7,,2,218,10,19,0.6
Kuwait ,225,,,,57,168,11,53,
San Marino ,223,,21,,6,196,15,6572,619
North Macedonia ,219,,3,,3,213,1,105,1
Moldova ,199,,2,,2,195,33,49,0.5
Albania ,186,,8,,31,147,3,65,3
Burkina Faso ,180,,9,,12,159,,9,0.4
Vietnam ,169,6,,,20,149,3,2,
Azerbaijan ,165,,3,,15,147,6,16,0.3
Cyprus ,162,,5,,15,142,3,134,4
Kazakhstan ,150,,1,,3,146,,8,0.05
Réunion ,145,,,,1,144,,162,
Faeroe Islands ,144,,,,54,90,2,2947,
Malta ,139,,,,2,137,1,315,
Ghana ,137,,4,,2,131,1,4,0.1
Oman ,131,,,,23,108,,26,
Senegal ,119,,,,11,108,,7,
Brunei ,115,,1,1,11,103,1,263,2
Venezuela ,113,,2,,31,80,2,4,0.07
Afghanistan ,110,,4,,2,104,,3,0.1
Sri Lanka ,106,,,,7,99,5,5,
Ivory Coast ,101,,,,3,98,,4,
Cambodia ,99,,,,13,86,1,6,
Honduras ,95,27,1,,3,91,4,10,0.1
Mauritius ,94,,2,,,92,1,74,2
Belarus ,94,,,,32,62,2,10,
Martinique ,93,,1,,,92,12,248,3
Cameroon ,91,,2,,2,87,,3,0.08
Palestine ,91,,1,,17,73,,18,0.2
Channel Islands ,88,,1,,,87,,506,6
Uzbekistan ,88,,1,,5,82,8,3,0.03
Georgia ,83,,,,14,69,1,21,
Montenegro ,82,,1,,,81,1,131,2
Cuba ,80,,2,,4,74,2,7,0.2
Bolivia ,74,13,,,,74,,6,
Guadeloupe ,73,,1,,,72,4,182,2
Nigeria ,70,,1,,3,66,,0.3,0
Trinidad and Tobago ,66,,2,,1,63,,47,1
Kyrgyzstan ,58,,,,,58,,9,
Paraguay ,56,4,3,,1,52,1,8,0.4
Liechtenstein ,56,,,,,56,,1469,
Gibraltar ,55,,,,14,41,,1632,
Rwanda ,54,,,,,54,,4,
DRC ,51,,3,,2,46,,0.6,0.03
Mayotte ,50,,,,,50,,183,
Bangladesh ,48,,5,,11,32,1,0.3,0.03
Monaco ,42,,,,1,41,,1070,
Macao ,34,,,,10,24,,52,
Aruba ,33,,,,1,32,,309,
Guatemala ,32,4,1,,4,27,1,2,0.06
Kenya ,31,,1,,1,29,2,0.6,0.02
Jamaica ,30,4,1,,2,27,,10,0.3
French Polynesia ,30,,,,,30,,107,
Isle of Man ,29,,,,,29,,341,
French Guiana ,28,,,,6,22,,94,
Barbados ,26,,,,,26,,90,
Madagascar ,26,,,,,26,,0.9,
Togo ,25,,1,,1,23,,3,0.1
Uganda ,23,,,,,23,,0.5,
Zambia ,22,,,,,22,,1,
El Salvador ,19,6,,,,19,,3,
Bermuda ,17,,,,2,15,,273,
Ethiopia ,16,,,,,16,,0.1,
Maldives ,16,,,,9,7,,30,
New Caledonia ,15,,,,,15,,53,
Tanzania ,13,,,,1,12,,0.2,
Djibouti ,12,,,,,12,,12,
Equatorial Guinea ,12,,,,,12,,9,
Mongolia ,12,1,,,,12,,4,
Dominica ,11,,,,,11,,153,
Mali ,11,,,,,11,,0.5,
Saint Martin ,11,,,,,11,,284,
Niger ,10,,1,,,9,,0.4,0.04
Bahamas ,10,,,,1,9,,25,
Greenland ,10,,,,2,8,,176,
Eswatini ,9,,,,,9,,8,
Cayman Islands ,8,,1,,,7,,122,15
Curaçao ,8,,1,,2,5,,49,6
Guinea ,8,,,,,8,,0.6,
Haiti ,8,,,,,8,,0.7,
Myanmar ,8,,,,,8,,0.1,
Namibia ,8,,,,2,6,,3,
Suriname ,8,,,,,8,,14,
