Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,Gross Total cases,Gross Total deaths
USA,123776,2229,3231,198,8,118316,2666,374,123974,2237
Italy,92472,10023,12384,0,0,70065,3856,1529,92472,10023
China,81439,3300,75448,45,5,2691,742,57,81484,3305
Spain,73235,5982,12285,0,0,54968,4165,1566,73235,5982
Germany,57695,433,8481,0,0,48781,1581,689,57695,433
France,37575,2314,5700,0,0,29561,4273,576,37575,2314
Iran,35408,2517,11679,0,0,21212,3206,422,35408,2517
UK,17089,1019,135,0,0,15935,163,252,17089,1019
Switzerland,14076,264,1595,0,0,12217,301,1626,14076,264
Netherlands,9762,639,3,0,0,9120,914,570,9762,639
S. Korea,9583,152,5033,105,8,4398,59,187,9688,160
Belgium,9134,353,1063,0,0,7718,789,788,9134,353
Austria,8271,68,225,0,0,7978,135,918,8271,68
Turkey,7402,108,70,0,0,7224,445,88,7402,108
Canada,5655,60,508,0,0,5087,120,150,5655,60
Portugal,5170,100,43,0,0,5027,89,507,5170,100
Norway,4032,23,7,17,0,4002,84,744,4049,23
Australia,3969,16,226,334,2,3727,23,156,4303,18
Brazil,3904,114,6,0,0,3784,296,18,3904,114
Israel,3865,12,89,246,0,3764,66,447,4111,12
Sweden,3447,105,16,0,0,3326,239,341,3447,105
Czechia,2663,11,11,32,0,2641,45,249,2695,11
Ireland,2415,36,5,0,0,2374,59,489,2415,36
Malaysia,2320,27,320,0,0,1973,54,72,2320,27
Denmark,2201,65,1,0,0,2135,109,380,2201,65
Chile,1909,6,61,0,0,1842,7,100,1909,6
Luxembourg,1831,18,40,0,0,1773,25,2925,1831,18
Ecuador,1823,48,3,0,0,1772,58,103,1823,48
Japan,1693,52,404,0,0,1237,56,13,1693,52
Poland,1638,18,7,0,0,1613,3,43,1638,18
Pakistan,1526,13,29,31,1,1484,11,7,1557,14
Romania,1452,37,139,0,0,1276,34,75,1452,37
Thailand,1388,7,97,143,1,1284,11,20,1531,8
Russia,1264,4,49,0,0,1211,8,9,1264,4
Finland,1218,9,10,51,0,1199,32,220,1269,9
Saudi Arabia,1203,4,37,0,0,1162,6,35,1203,4
South Africa,1187,1,31,0,0,1155,7,20,1187,1
Indonesia,1155,102,59,0,0,994,0,4,1155,102
Philippines,1075,68,35,0,0,972,1,10,1075,68
Greece,1061,32,52,0,0,977,66,102,1061,32
India,987,25,87,0,1,875,0,1,987,26
Iceland,963,2,114,0,0,847,18,2822,963,2
Panama,901,17,4,0,0,880,32,209,901,17
Mexico,848,16,4,131,4,828,1,7,979,20
Singapore,802,3,198,0,1,601,19,137,802,4
Argentina,745,19,72,0,0,654,0,16,745,19
Dominican Republic,719,28,3,0,0,688,0,66,719,28
Slovenia,684,9,10,0,0,665,25,329,684,9
Peru,671,16,16,0,0,639,33,20,671,16
Serbia,659,10,42,0,0,607,25,75,659,10
Croatia,657,5,45,0,0,607,14,160,657,5
Estonia,645,1,20,0,0,624,10,486,645,1
Colombia,608,6,10,0,0,592,0,12,608,6
Qatar,590,1,45,0,0,544,6,205,590,1
Egypt,576,36,121,0,0,419,0,6,576,36
Hong Kong,560,4,112,0,0,444,5,75,560,4
New Zealand,514,1,56,0,0,457,1,107,514,1
Iraq,506,42,131,0,0,333,0,13,506,42
Bahrain,476,4,265,0,0,207,1,280,476,4
UAE,468,2,55,0,0,411,2,47,468,2
Algeria,454,29,31,0,0,394,0,10,454,29
Lithuania,437,7,1,43,0,429,2,161,480,7
Armenia,424,3,30,17,2,391,6,143,441,5
Lebanon,412,8,30,0,0,374,4,60,412,8
